COUNTRY,Country,WEEK,Week number,GENDER,Gender,AGE,Age,VARIABLE,Variable,YEAR,Year,Value,Flag Codes,Flags
DNK,Denmark,11,11,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,12.8,,
GRC,Greece,26,26,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
GRC,Greece,26,26,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,2,,
GRC,Greece,26,26,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,5.1,,
AUS,Australia,33,33,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,101,,
AUS,Australia,33,33,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,25,,
AUS,Australia,33,33,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,490,,
NLD,Netherlands,31,31,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,9,,
NLD,Netherlands,31,31,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,50,,
NLD,Netherlands,31,31,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,31,,
PRT,Portugal,39,39,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,2,,
PRT,Portugal,39,39,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,2.3,,
PRT,Portugal,39,39,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,2.6,,
GBR,United Kingdom,20,20,TOTAL,Total,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2020,2020,3886,,
GBR,United Kingdom,20,20,TOTAL,Total,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2021,2021,93,,
GBR,United Kingdom,20,20,TOTAL,Total,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2022,2022,548,,
USA,United States,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,5060,,
USA,United States,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,2048,,
USA,United States,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,2118,,
LTU,Lithuania,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,0,,
LTU,Lithuania,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,52,,
LTU,Lithuania,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,29,,
AUT,Austria,45,45,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,397,,
AUT,Austria,45,45,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,335,,
AUT,Austria,45,45,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,50,,
SWE,Sweden,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,5,,
SWE,Sweden,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,127,,
SWE,Sweden,11,11,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,195,,
SWE,Sweden,52,52,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,27.8,,
SWE,Sweden,52,52,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,3.5,,
GBR,United Kingdom,7,7,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
GBR,United Kingdom,7,7,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,28.5,,
GBR,United Kingdom,7,7,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,7.6,,
ISL,Iceland,48,48,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,0,,
ISL,Iceland,48,48,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,0,,
FRA,France,26,26,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,123,,
FRA,France,26,26,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,199,,
FRA,France,26,26,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,283,,
ESP,Spain,5,5,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,28.5,,
ESP,Spain,5,5,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,15.3,,
CZE,Czech Republic,22,22,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0.2,,
CZE,Czech Republic,22,22,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,1.9,,
CZE,Czech Republic,22,22,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,0.3,,
LVA,Latvia,51,51,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,14.5,,
LVA,Latvia,51,51,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,10.2,,
GBR,United Kingdom,4,4,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
GBR,United Kingdom,4,4,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,44,,
GBR,United Kingdom,4,4,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,11,,
USA,United States,13,13,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,5.1,,
USA,United States,13,13,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,7.2,,
USA,United States,13,13,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,3.3,,
ITA,Italy,20,20,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,1024,,
ITA,Italy,20,20,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,822,,
ITA,Italy,20,20,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,667,,
JPN,Japan,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,121,,
JPN,Japan,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,640,,
JPN,Japan,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,254,,
DNK,Denmark,41,41,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,17,,
DNK,Denmark,41,41,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,18,,
DNK,Denmark,41,41,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,82,,
AUS,Australia,3,3,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
AUS,Australia,3,3,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,0,,
AUS,Australia,3,3,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,11.1,,
FIN,Finland,24,24,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,1,,
FIN,Finland,24,24,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,1,,
FIN,Finland,24,24,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,74,,
LVA,Latvia,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,0,,
LVA,Latvia,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,3,,
LVA,Latvia,30,30,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,25,,
FRA,France,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,335,,
FRA,France,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,398,,
FRA,France,23,23,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,264,,
GBR,United Kingdom,30,30,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,2.3,,
GBR,United Kingdom,30,30,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,4,,
GBR,United Kingdom,30,30,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,7.4,,
IRL,Ireland,37,37,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,10,,
IRL,Ireland,37,37,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,42,,
IRL,Ireland,37,37,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,9,,
NLD,Netherlands,1,1,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,15.5,,
NLD,Netherlands,1,1,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,2.5,,
USA,United States,46,46,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,10654,,
USA,United States,46,46,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,7325,,
USA,United States,46,46,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,2049,,
GBR,United Kingdom,41,41,FEMALE,Females,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2020,2020,179,,
GBR,United Kingdom,41,41,FEMALE,Females,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2021,2021,318,,
NOR,Norway,7,7,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,4,,
NOR,Norway,7,7,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,71,,
SWE,Sweden,5,5,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,269,,
SWE,Sweden,5,5,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,359,,
CHL,Chile,16,16,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,53,,
CHL,Chile,16,16,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,687,,
CHL,Chile,16,16,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,144,,
EST,Estonia,26,26,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
EST,Estonia,26,26,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,0.3,,
EST,Estonia,26,26,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,2.4,,
GRC,Greece,23,23,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0.1,,
GRC,Greece,23,23,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,5.7,,
GRC,Greece,23,23,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,4.2,,
GBR,United Kingdom,2,2,MALE,Males,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2020,2020,0,,
GBR,United Kingdom,2,2,MALE,Males,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2021,2021,3533,,
GBR,United Kingdom,43,43,FEMALE,Females,Y45T64,45 to 64,COVIDNB,COVID-19 deaths (number),2020,2020,37,,
GBR,United Kingdom,43,43,FEMALE,Females,Y45T64,45 to 64,COVIDNB,COVID-19 deaths (number),2021,2021,60,,
NOR,Norway,51,51,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,3.8,,
NOR,Norway,51,51,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,2.6,,
BEL,Belgium,25,25,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,40,,
BEL,Belgium,25,25,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,23,,
BEL,Belgium,25,25,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,35,,
ESP,Spain,41,41,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,942,,
ESP,Spain,41,41,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,129,,
ESP,Spain,41,41,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,132,,
AUS,Australia,36,36,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,148,,
AUS,Australia,36,36,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,48,,
AUS,Australia,36,36,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,407,,
KOR,Korea,2,2,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,0,,
KOR,Korea,2,2,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,124,,
KOR,Korea,2,2,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,273,,
LUX,Luxembourg,29,29,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,4.1,,
LUX,Luxembourg,29,29,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,4.5,,
LUX,Luxembourg,29,29,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,3.7,,
AUT,Austria,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,32,,
AUT,Austria,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,104,,
AUT,Austria,19,19,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,41,,
AUT,Austria,42,42,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,65,,
AUT,Austria,42,42,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,112,,
AUT,Austria,42,42,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,77,,
NZL,New Zealand,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,7,,
NZL,New Zealand,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,0,,
NZL,New Zealand,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,71,,
NZL,New Zealand,40,40,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,0,,
NZL,New Zealand,40,40,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,1,,
NZL,New Zealand,40,40,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,0,,
CZE,Czech Republic,25,25,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0.4,,
CZE,Czech Republic,25,25,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,0.5,,
CZE,Czech Republic,25,25,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,0.1,,
ISR,Israel,35,35,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,9.8,,
ISR,Israel,35,35,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,19.2,,
ISR,Israel,35,35,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,3,,
GBR,United Kingdom,23,23,TOTAL,Total,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2020,2020,1545,,
GBR,United Kingdom,23,23,TOTAL,Total,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2021,2021,69,,
GBR,United Kingdom,23,23,TOTAL,Total,Y_GE65,65 and over,COVIDNB,COVID-19 deaths (number),2022,2022,291,,
CZE,Czech Republic,2,2,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
CZE,Czech Republic,2,2,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,31,,
CZE,Czech Republic,2,2,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,9.6,,
JPN,Japan,13,13,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,12,,
JPN,Japan,13,13,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,190,,
JPN,Japan,13,13,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,549,,
PRT,Portugal,13,13,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,4.9,,
PRT,Portugal,13,13,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,2,,
PRT,Portugal,13,13,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,6.1,,
ISR,Israel,12,12,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0.1,,
ISR,Israel,12,12,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,7.7,,
ISR,Israel,12,12,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,4.9,,
LTU,Lithuania,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,10,,
LTU,Lithuania,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,69,,
LTU,Lithuania,14,14,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,17,,
BEL,Belgium,2,2,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,342,,
BEL,Belgium,2,2,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,138,,
FRA,France,29,29,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,105,,
FRA,France,29,29,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,147,,
FRA,France,29,29,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,773,,
POL,Poland,40,40,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,2.4,,
POL,Poland,40,40,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,2.1,,
POL,Poland,40,40,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,1.9,,
ESP,Spain,8,8,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
ESP,Spain,8,8,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,14.5,,
ESP,Spain,8,8,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,7.3,,
DEU,Germany,12,12,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,478,,
DEU,Germany,12,12,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,1522,,
DEU,Germany,12,12,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,1811,,
SVK,Slovak Republic,19,19,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0.2,,
SVK,Slovak Republic,19,19,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,8.4,,
SVK,Slovak Republic,19,19,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,0.8,,
CHE,Switzerland,38,38,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,1.5,,
CHE,Switzerland,38,38,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,3.1,,
CHE,Switzerland,38,38,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2022,2022,0.8,,
ITA,Italy,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2020,2020,2645,,
ITA,Italy,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2021,2021,1827,,
ITA,Italy,17,17,TOTAL,Total,TOTAL,Total,COVIDNB,COVID-19 deaths (number),2022,2022,998,,
DNK,Denmark,8,8,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2020,2020,0,,
DNK,Denmark,8,8,TOTAL,Total,TOTAL,Total,COVIDPC,COVID-19 deaths (% of All-cause deaths),2021,2021,1.2,,
